종목,현재가,고가,저가,변동,변동 %,거래량,시간
Oncolytics Biotec,1.150,1.160,1.120,+0.030,+2.68%,70.96K,14/05
Middlesex Water,91.18,91.53,90.00,+1.11,+1.23%,69.97K,14/05
Hooker Furnitur,16.96,17.33,16.84,-0.12,-0.70%,69.94K,14/05
Southside BShrs,38.34,39.22,38.27,-0.40,-1.03%,69.68K,14/05
Natures Sunsh,12.52,12.92,12.33,+0.21,+1.71%,69.61K,14/05
Sharplink Gaming,0.853,0.915,0.730,+0.113,+15.23%,68.82K,14/05
Erie Indemnity Co,164.98,166.24,163.26,+0.19,+0.12%,68.46K,14/05
Marine Petroleum,7.490,7.700,6.860,+0.350,+4.90%,68.37K,14/05
America CarMart,83.24,83.92,80.88,+2.56,+3.17%,68.24K,14/05
City Holding,78.46,79.71,78.15,-0.39,-0.49%,68.12K,14/05
Independent Bank Corp,19.11,19.38,18.98,-0.10,-0.52%,67.08K,14/05
Comtech Tele,12.22,12.39,12.02,+0.16,+1.33%,66.37K,14/05
Park Ohio Holdings,14.31,14.51,13.91,+0.40,+2.88%,66.17K,14/05
BSQUARE Corp,1.290,1.320,1.250,+0.030,+2.38%,66.07K,14/05
HeritageCrystal,26.08,26.43,25.80,+0.28,+1.09%,65.88K,14/05
Natural Alternati,10.48,11.00,9.81,+1.47,+16.32%,65.78K,14/05
Loop Industries,5.63,5.78,5.05,+0.61,+12.15%,65.27K,14/05
Genasys Inc,2.990,3.170,2.910,-0.040,-1.32%,64.80K,14/05
CyberOptics Corp,42.90,44.00,42.26,+0.87,+2.07%,64.53K,14/05
Addus HomeCare,81.54,83.69,81.02,-0.28,-0.34%,64.21K,14/05
Donegal Group,15.03,15.15,14.83,-0.11,-0.73%,63.85K,14/05
Pluristem,1.460,1.500,1.411,+0.040,+2.82%,62.90K,14/05
Bassett,16.06,16.19,15.84,+0.26,+1.65%,62.69K,14/05
Powell Ind.,25.43,26.52,24.82,-0.63,-2.42%,62.54K,14/05
TROOPS,2.900,3.100,2.690,+0.210,+7.81%,62.29K,14/05
Superior Uniform,16.18,16.42,15.61,+0.62,+3.98%,61.71K,14/05
Peapack-Gladst.,31.02,31.42,30.68,0.00,0.00%,61.17K,14/05
Burcon Nutrascience Corp,0.689,0.690,0.630,+0.064,+10.27%,60.78K,14/05
First United Corp,19.49,20.75,19.19,-0.98,-4.79%,60.56K,14/05
China Automotive,2.930,2.940,2.580,+0.180,+6.55%,60.27K,14/05
Amer. Woodmark,48.21,49.88,47.59,-0.47,-0.97%,59.54K,14/05
Aviat Networks,29.00,29.27,27.79,+1.34,+4.84%,59.45K,14/05
Providence Serv,102.00,104.96,100.32,+3.78,+3.85%,58.84K,14/05
Landec Corp,9.20,9.43,9.03,+0.17,+1.88%,58.66K,14/05
Civista Bancshares,20.85,20.96,20.33,+0.10,+0.48%,56.81K,14/05
Charles & Colvard,1.380,1.450,1.350,+0.030,+2.22%,55.26K,14/05
Preferred Bank,66.79,67.36,65.67,+0.46,+0.69%,54.90K,14/05
바이오셉트,1.540,1.570,1.459,+0.110,+7.69%,54.78K,14/05
Protagenic Therapeutics,0.655,0.680,0.611,+0.008,+1.19%,53.69K,14/05
Community Tr,40.26,41.20,40.12,-0.54,-1.32%,53.20K,14/05
Lifetime Brands,11.40,11.76,11.25,+0.22,+1.97%,53.05K,14/05
First of Long Island,18.20,18.56,18.15,-0.17,-0.93%,52.93K,14/05
Euroseas Ltd,23.52,24.36,22.81,+0.84,+3.70%,52.86K,14/05
Limoneira Co,11.01,11.10,10.84,+0.16,+1.47%,52.46K,14/05
ATN Int,39.94,41.64,39.74,-1.31,-3.18%,52.24K,14/05
Consolid. Water,11.43,11.50,10.80,+0.64,+5.93%,51.85K,14/05
Achieve Life Sciences,6.640,6.870,6.424,+0.250,+3.91%,51.05K,14/05
Isleworth Healthcare Acquisition,9.930,9.930,9.880,+0.040,+0.40%,50.74K,14/05
Colony Bankcorp,16.34,16.39,16.16,+0.05,+0.31%,50.73K,14/05
IES Holdings,29.33,30.17,29.18,+0.17,+0.58%,50.24K,14/05
ClearOne Inc,0.571,0.590,0.550,+0.032,+5.88%,50.17K,14/05
Rocky Brands,36.95,37.42,35.77,+1.68,+4.76%,50.15K,14/05
Mercantile Bank,31.01,31.65,30.87,-0.31,-0.99%,49.04K,14/05
Gaia Inc,4.81,4.83,4.48,+0.38,+8.58%,48.50K,14/05
BBQ Holdings,13.45,13.71,13.01,+0.33,+2.52%,48.45K,14/05
Nymox Pharmaceutical,1.2900,1.3350,1.2000,+0.0700,+5.74%,48.12K,14/05
Alico,41.02,41.43,40.64,+0.36,+0.89%,47.85K,14/05
Giga Media Ltd,1.520,1.580,1.490,-0.020,-1.30%,47.85K,14/05
First Business,33.33,33.75,33.05,-0.12,-0.36%,47.40K,14/05
Taoping,1.300,1.310,1.160,+0.060,+4.84%,47.22K,14/05
레이크랜드 인더스트리,16.25,16.31,15.74,+0.31,+1.94%,46.89K,14/05
Great Southern,57.35,59.79,57.34,-1.49,-2.53%,46.77K,14/05
Flexsteel Ind.,20.21,21.88,20.18,-0.71,-3.39%,46.54K,14/05
Plumas Bancorp,33.07,34.00,31.88,+0.58,+1.79%,45.36K,14/05
I.D. Systems,2.280,2.300,2.210,-0.030,-1.30%,45.35K,14/05
PC Connection,46.36,46.94,45.86,+0.77,+1.69%,45.16K,14/05
Kazia Therapeutics ADR,5.49,5.52,5.16,+0.29,+5.58%,45.08K,14/05
Escalade,13.00,13.24,12.63,+0.46,+3.67%,44.88K,14/05
Northwest Pipe,29.23,29.92,29.23,-0.48,-1.62%,44.72K,14/05
Allied Motion Tech,23.76,24.07,23.45,+0.39,+1.67%,43.61K,14/05
Forward Industries,1.450,1.482,1.410,0.000,0.00%,43.04K,14/05
Coca-Cola Bott,530.80,536.56,512.79,+16.79,+3.27%,42.54K,14/05
Hawkins,36.99,37.84,36.61,+0.65,+1.79%,41.89K,14/05
SemiLEDS Corp,2.46,2.46,2.31,+0.27,+12.33%,41.53K,14/05
Barrett Busi,73.55,73.83,71.49,+2.22,+3.11%,41.37K,14/05
Central Garden & Pet Co.,44.84,45.23,44.25,+0.49,+1.10%,41.37K,14/05
F.F.I.,26.70,27.21,26.54,-0.40,-1.48%,41.21K,14/05
CSI Compressco,1.2700,1.3600,1.2350,+0.0800,+6.72%,41.14K,14/05
SigmaTron,5.690,5.890,5.530,+0.150,+2.71%,41.12K,14/05
NVE Corp,47.43,47.76,46.01,+1.39,+3.02%,40.40K,14/05
Central Valley,17.29,17.71,17.07,-0.23,-1.31%,40.28K,14/05
Farmer Bros. Co,5.32,5.64,5.31,-0.02,-0.37%,40.25K,14/05
Enstar Group,229.30,231.21,226.46,+0.08,+0.03%,40.04K,14/05
Gravity Co,52.30,56.12,49.86,+5.79,+12.45%,39.80K,14/05
Cass Info,34.71,35.27,34.39,+0.01,+0.03%,39.74K,14/05
Steel Connect,1.190,1.240,1.190,-0.020,-1.65%,39.64K,14/05
P.A.M. Transportation,29.52,30.81,29.38,+0.59,+2.04%,39.64K,14/05
Mannatech,27.20,28.50,22.38,-2.10,-7.16%,39.01K,14/05
Bank of Marin,30.89,31.61,30.87,-0.39,-1.25%,38.64K,14/05
INTL FCStone,71.02,72.60,70.48,+0.87,+1.24%,38.53K,14/05
Cavco Ind.,234.29,236.03,224.41,+5.37,+2.35%,38.24K,14/05
Amtech Systems,8.180,8.240,7.320,+0.930,+12.83%,38.21K,14/05
GSI Technology,3.120,3.181,3.001,+0.110,+3.65%,37.92K,14/05
Covenant Transpor,21.76,22.56,21.76,-0.40,-1.81%,37.01K,14/05
Star Equity Holdings,0.762,0.810,0.735,-0.011,-1.37%,36.78K,14/05
Forrester Rsrch,50.39,51.23,50.10,+0.64,+1.29%,36.71K,14/05
Orrstown Financial,23.59,24.01,23.51,-0.30,-1.26%,35.39K,14/05
Camden National,42.38,43.56,42.28,-1.02,-2.35%,35.00K,14/05
IRSA,2.30,2.34,2.17,+0.06,+2.68%,34.98K,14/05
Live Ventures,33.60,35.70,32.70,+1.40,+4.35%,34.92K,14/05
Genetic Tech,1.230,1.278,1.196,+0.020,+1.65%,34.77K,14/05
Citiz. &North.,23.72,24.26,23.72,-0.32,-1.33%,34.76K,14/05
Magic Sftware,16.71,16.87,16.37,+0.64,+3.98%,33.07K,14/05
First Community,27.03,27.64,26.95,-0.48,-1.74%,32.43K,14/05
Calumet Specialty,13.500,13.790,13.250,+0.430,+3.29%,32.36K,14/05
Indus Realty Trust,66.28,67.37,64.46,+0.48,+0.73%,31.87K,14/05
MidWestOne,28.81,29.59,28.77,-0.54,-1.84%,31.84K,14/05
MIND C.T.I. Ltd,2.450,2.450,2.310,+0.150,+6.52%,31.77K,14/05
CorVel Corp,153.09,155.06,150.53,+4.20,+2.82%,30.84K,14/05
Parke Bancorp,24.09,24.30,23.74,+0.54,+2.29%,30.70K,14/05
Sierra Bancorp,21.50,21.79,21.41,-0.19,-0.88%,30.28K,14/05
MediciNova,2.410,2.487,2.380,+0.040,+1.69%,30.01K,14/05
셀시온,2.5500,2.6500,2.5050,+0.1200,+4.94%,29.99K,14/05
Mind Technology,0.9200,0.9500,0.9149,-0.0150,-1.60%,29.99K,14/05
Sotherly Hotels,1.860,1.863,1.770,+0.090,+5.08%,29.60K,14/05
LSI Industries,6.930,7.170,6.900,-0.080,-1.14%,29.39K,14/05
Prudential Bancor,15.28,15.47,15.21,-0.05,-0.33%,29.28K,14/05
OptimumBank Holdings,4.030,4.059,3.750,+0.030,+0.75%,28.92K,14/05
Dynatronics Corp,0.6238,0.6399,0.5600,+0.0038,+0.61%,28.82K,14/05
IRIDEX Corp,3.300,3.410,3.178,+0.080,+2.48%,28.65K,14/05
U.S. Global Inves,4.740,4.770,4.570,+0.220,+4.87%,28.50K,14/05
Northrim BCorp,39.30,40.32,39.28,-0.74,-1.85%,28.38K,14/05
Cptl City Bank,25.63,26.17,25.49,-0.41,-1.57%,28.22K,14/05
Lumos Pharma Inc,7.69,7.90,7.24,-0.13,-1.66%,28.08K,14/05
Kingstone Compani,4.800,5.300,4.800,-0.500,-9.43%,28.04K,14/05
Northeast Bancorp,35.93,36.38,35.47,+0.48,+1.35%,28.03K,14/05
NeuroMetrix,3.150,3.175,2.880,+0.250,+8.62%,27.96K,14/05
Aeroportuario del Centro Norte,56.65,57.38,55.25,+1.56,+2.83%,27.62K,14/05
Johnson Outdrs,64.97,66.55,64.62,+0.05,+0.08%,26.85K,14/05
US Gold,4.44,4.48,4.20,+0.30,+7.25%,26.75K,14/05
Rush Enterprises,49.02,49.41,48.43,+0.88,+1.83%,26.28K,14/05
Odyssey Marine,5.710,5.750,5.310,+0.350,+6.53%,25.78K,14/05
PLPC,59.61,60.77,58.40,+1.21,+2.07%,25.68K,14/05
CRA Intl,80.78,82.11,79.94,+1.13,+1.42%,25.65K,14/05
Rubicon Tech,9.070,9.300,8.840,-0.016,-0.18%,25.08K,14/05
Home Bancorp,34.51,34.96,34.15,-0.35,-1.00%,24.95K,14/05
Ames National,23.34,23.91,22.80,+0.38,+1.66%,24.85K,14/05
Arts-Way Manufacturing,2.280,2.383,2.184,+0.030,+1.33%,24.73K,14/05
Insignia Systems,7.230,7.440,7.150,-0.110,-1.50%,24.48K,14/05
Seneca Foods,56.50,57.08,54.73,+1.55,+2.82%,24.41K,14/05
Frequency Electro,7.580,7.580,7.184,+0.233,+3.17%,24.29K,14/05
ACNB Corp,32.29,32.52,32.05,-0.01,-0.03%,23.82K,14/05
Mid Penn Bancorp,25.67,26.10,25.54,-0.22,-0.85%,23.16K,14/05
Bel Fuse (B),16.50,16.64,16.22,+0.03,+0.18%,22.84K,14/05
LB Foster,12.23,12.90,12.11,+0.04,+0.33%,22.68K,14/05
Socket Mobile,2.940,3.166,2.870,+0.060,+2.08%,22.50K,14/05
Hurco Companies,28.09,28.51,27.00,+1.17,+4.35%,21.53K,14/05
China Jo-Jo Drugs,1.8900,1.9100,1.8100,+0.1200,+6.78%,21.29K,14/05
Allied Healthcare,1.910,1.980,1.820,+0.020,+1.06%,21.26K,14/05
Gencor Industries,10.02,10.10,9.78,+0.47,+4.92%,21.26K,14/05
Northeast Communications,10.94,11.07,10.86,+0.10,+0.92%,21.16K,14/05
Greene County Ban,51.03,52.95,51.01,-0.32,-0.63%,21.07K,14/05
Cyanotech Corp,3.040,3.040,2.760,+0.280,+10.14%,20.95K,14/05
Performance Shipping,2.520,2.530,2.270,+0.260,+11.50%,20.73K,14/05
Asia Pacific Wire & Cable,1.180,1.270,1.170,-0.010,-0.84%,20.71K,14/05
CNB Financial,24.76,25.00,24.70,-0.10,-0.40%,20.30K,14/05
컴퓨터 태스크 그룹,8.530,8.570,8.340,+0.070,+0.83%,19.81K,14/05
First Bancorp Inc,28.50,29.38,28.50,-0.65,-2.23%,18.82K,14/05
America First Tax,17.060,17.250,16.950,+0.200,+1.19%,18.56K,14/05
Radcom Ltd,11.61,11.87,11.00,+0.41,+3.61%,18.26K,14/05
Republic BCorp,42.76,43.28,42.71,-0.26,-0.60%,18.13K,14/05
Arrow Financial,31.18,31.91,31.01,-0.61,-1.92%,17.48K,14/05
Mesa Lab,217.98,219.30,214.52,+4.65,+2.18%,17.48K,14/05
Ituran,22.10,22.47,21.93,+0.21,+0.96%,17.19K,14/05
Artesian Res,45.37,45.66,44.51,+0.27,+0.60%,16.94K,14/05
Canterbury Park,29.33,30.30,29.33,-0.67,-2.23%,16.82K,14/05
Research Frontier,1.670,1.709,1.640,+0.025,+1.52%,16.77K,14/05
Antelope Enterprise Holdings,0.753,0.810,0.737,+0.016,+2.18%,16.46K,14/05
ATA Inc,1.050,1.070,0.930,+0.115,+12.30%,16.43K,14/05
Cumberland Phar,2.230,2.370,2.220,0.000,0.00%,16.27K,14/05
Autoscope Technologies,5.678,5.978,5.500,+0.154,+2.79%,16.27K,14/05
Optical Cable Cor,3.650,3.820,3.650,-0.195,-5.07%,16.07K,14/05
ChipMOS Tech,31.28,31.40,30.87,+0.84,+2.76%,15.94K,14/05
Amer. Ntnl BShr,34.80,35.34,34.80,-0.38,-1.08%,15.57K,14/05
Reading Intl,3.520,3.580,3.500,0.000,0.00%,15.35K,14/05
Eastern Co,20.02,20.30,20.00,-0.03,-0.15%,15.26K,14/05
BankFinancial,9.80,9.80,9.71,+0.03,+0.31%,15.16K,14/05
Gulf Isl. Fab.,3.580,3.730,3.550,-0.040,-1.10%,15.15K,14/05
National Western Life Insurance,201.50,203.30,199.37,+3.39,+1.71%,15.14K,14/05
CVD Equipment Corp,4.220,4.220,4.100,+0.120,+2.93%,14.96K,14/05
LCNB Corp,15.79,16.17,15.65,+0.17,+1.09%,14.83K,14/05
Gulf Resources,3.510,3.620,3.350,+0.139,+4.11%,14.48K,14/05
Manhattan Bridge,5.280,5.400,5.270,+0.020,+0.38%,13.88K,14/05
Southern First,42.89,43.71,42.89,-0.25,-0.58%,13.82K,14/05
Pro-Dex,15.12,15.19,14.15,+0.23,+1.54%,13.69K,14/05
ImmuCell Corp,8.110,8.540,8.050,+0.310,+3.97%,13.47K,14/05
CSP Inc,7.15,7.46,7.00,+0.15,+2.08%,12.94K,14/05
Tenax Therapeutics,0.5677,0.6100,0.5600,-0.0182,-3.11%,12.77K,14/05
Nathans Famous,48.93,49.21,47.84,+1.37,+2.88%,12.71K,14/05
Data I/O Corp,3.060,3.150,3.010,+0.038,+1.27%,12.34K,14/05
Eagle Bancorp Mon,19.51,20.00,19.30,-0.41,-2.06%,12.19K,14/05
Janone,2.130,2.177,2.060,+0.130,+6.50%,12.13K,14/05
Codorus Valley,22.12,22.47,21.75,-0.05,-0.23%,11.83K,14/05
Provident,14.52,14.74,14.50,-0.08,-0.55%,11.48K,14/05
SPAR Group,1.1200,1.1200,1.0400,+0.0500,+4.67%,11.45K,14/05
Euro Tech Holding,1.400,1.410,1.309,+0.110,+8.53%,10.73K,14/05
Key Tronic Corp,5.000,5.105,5.000,-0.050,-0.99%,10.63K,14/05
NetSol Tech,3.090,3.120,2.910,+0.080,+2.66%,10.63K,14/05
Hudson Global Inc,33.00,34.10,32.72,-0.55,-1.64%,10.62K,14/05
Perma-Pipe Int,13.260,13.880,13.000,-0.400,-2.93%,10.62K,14/05
Rocky Mountain Ch,6.400,6.470,5.970,-0.010,-0.16%,10.62K,14/05
UT스타컴,0.7200,0.7400,0.6507,+0.0115,+1.62%,10.59K,14/05
Frp Holdings Ord,56.53,57.96,56.53,-1.32,-2.28%,10.46K,14/05
Magyar Bancorp,11.62,11.62,11.55,+0.10,+0.87%,10.17K,14/05
Pineapple Holdings,2.240,2.247,2.130,+0.110,+5.16%,10.09K,14/05
커피홀딩스,2.890,2.900,2.843,+0.053,+1.86%,10.00K,14/05
Reading International (B),22.38,23.00,21.64,+0.38,+1.73%,9.77K,14/05
Senstar Technologies,2.180,2.260,2.110,+0.050,+2.35%,9.58K,14/05
RGC Resources Inc,19.78,20.43,19.55,+0.28,+1.44%,9.55K,14/05
First Community Corp,18.73,19.67,18.73,-0.48,-2.50%,9.47K,14/05
RF Industries,5.800,5.800,5.483,+0.150,+2.65%,9.47K,14/05
Alimera Sciences,4.370,4.500,4.080,+0.370,+9.25%,9.39K,14/05
Partner ADR,7.170,7.325,6.800,+0.220,+3.17%,9.29K,14/05
Ark Restaurants Corp,16.47,16.48,15.91,-0.06,-0.33%,9.26K,14/05
Manitex International,7.120,7.460,7.120,-0.250,-3.39%,9.07K,14/05
Riverview Bancorp,6.580,6.702,6.580,-0.040,-0.60%,8.96K,14/05
Asure Software Inc,6.000,6.095,5.940,+0.050,+0.84%,8.54K,14/05
Omega Flex,99.39,101.14,99.20,+0.39,+0.39%,8.36K,14/05
Air T,16.01,17.00,15.57,-0.24,-1.48%,8.35K,14/05
Good Times Restau,2.640,2.670,2.600,+0.010,+0.38%,8.29K,14/05
Norwood Financial,26.43,26.84,25.30,+1.34,+5.34%,8.01K,14/05
Diamond Hill,174.06,177.13,173.38,-0.71,-0.41%,7.92K,14/05
ESSA Bancorp,16.50,16.69,16.50,+0.06,+0.33%,7.70K,14/05
Ocean Bio-Chem,7.30,7.89,7.06,-0.34,-4.39%,7.67K,14/05
Nortech Systems I,11.950,12.545,11.783,-0.336,-2.74%,7.58K,14/05
First Savings Financial,24.29,25.00,24.00,+0.28,+1.17%,7.46K,14/05
Perma-Fix Environ,5.600,5.600,5.450,+0.070,+1.27%,7.41K,14/05
Citizens Community,12.32,12.70,12.31,-0.23,-1.83%,7.28K,14/05
Airnet Tech,1.255,1.269,1.200,+0.055,+4.58%,7.27K,14/05
Beasley Broadc,1.470,1.500,1.470,+0.030,+2.08%,7.14K,14/05
Enterprise Bcor,32.95,33.25,32.80,-0.01,-0.03%,6.95K,14/05
AstroNova,12.69,12.76,11.88,+0.34,+2.75%,6.83K,14/05
NBI,33.00,33.94,33.00,-0.45,-1.34%,6.68K,14/05
AmeriServ,3.980,4.050,3.970,0.000,0.00%,6.26K,14/05
ATRION Corp,614.00,619.00,609.70,+9.00,+1.49%,6.14K,14/05
Lifeway Foods,5.100,5.110,4.830,+0.190,+3.87%,5.94K,14/05
Comstock Homebuil,4.020,4.120,3.963,+0.060,+1.52%,5.61K,14/05
Auburn National B,30.00,30.35,30.00,+0.38,+1.28%,5.35K,14/05
Fuwei Films Holdings,5.100,5.250,4.970,+0.260,+5.37%,5.16K,14/05
Smart Powerr,4.280,4.400,4.180,+0.190,+4.65%,5.09K,14/05
Bonso Electronics Int,2.980,3.062,2.440,+0.420,+16.41%,5.00K,14/05
Autoweb,1.950,1.950,1.902,+0.100,+5.41%,4.90K,14/05
Deswell Industries,3.350,3.405,3.250,-0.040,-1.18%,4.87K,14/05
Alithya A,2.080,2.110,2.060,+0.020,+0.97%,4.70K,14/05
Dawson Geophy,1.620,1.620,1.591,+0.048,+3.03%,4.62K,14/05
Distribution Solutions,40.15,40.78,40.11,+0.45,+1.13%,4.45K,14/05
SB Financial,17.63,17.81,17.50,-0.16,-0.90%,4.29K,14/05
Hingham Instit,315.17,320.00,314.70,-0.40,-0.13%,4.23K,14/05
씨티즌스 홀딩,17.70,17.78,17.70,-0.03,-0.17%,4.04K,14/05
First Fin NWest,16.13,16.73,16.13,-0.07,-0.41%,3.96K,14/05
Nicholas Financial,8.76,9.05,8.76,+0.05,+0.59%,3.87K,14/05
Crown Crafts,6.039,6.070,6.016,+0.019,+0.32%,3.77K,14/05
Landmark Bancorp,25.00,25.29,24.65,-0.50,-1.96%,3.77K,14/05
Bank of South Car,17.42,17.73,17.20,+0.06,+0.35%,3.47K,14/05
Northern Technolo,10.98,10.98,10.29,+0.68,+6.60%,3.47K,14/05
Highway Holdings,1.990,2.000,1.980,+0.004,+0.19%,3.46K,14/05
Educational Devel,4.98,5.01,4.78,+0.24,+5.06%,3.43K,14/05
Porter Bancorp,20.10,20.74,20.10,+0.10,+0.50%,3.39K,14/05
Hawthorn Bancshar,25.71,26.41,25.71,-0.29,-1.12%,3.34K,14/05
STRATA Skin Sciences,1.0853,1.1400,1.0701,+0.0053,+0.49%,3.30K,14/05
Psychemedics Corp,6.440,6.490,6.320,+0.170,+2.71%,3.14K,14/05
Emclaire Financial,35.70,35.90,34.65,+0.14,+0.39%,3.06K,14/05
Pathfinder Bancorp,19.89,20.35,19.19,-0.10,-0.53%,2.96K,14/05
B.O.S. Better Onl,2.173,2.250,2.110,+0.123,+5.99%,2.88K,14/05
Elmira Savings Bank,23.08,23.09,23.08,+0.01,+0.04%,2.88K,14/05
Atlantic American,2.940,2.940,2.775,+0.080,+2.80%,2.66K,14/05
Aware,2.670,2.670,2.540,+0.120,+4.71%,2.65K,14/05
Franklin Fin.,30.82,31.00,30.82,-0.18,-0.58%,2.59K,14/05
Formula Systems ADR,93.00,93.36,90.00,+4.35,+4.91%,2.48K,14/05
차이나 내추럴,0.6900,0.7000,0.6849,+0.0300,+4.55%,2.33K,14/05
Fonar Corp,16.50,16.51,16.07,+0.74,+4.70%,2.20K,14/05
Eltek Ltd,3.830,3.890,3.800,+0.060,+1.59%,2.19K,14/05
The Intergroup Co,46.00,48.08,46.00,+0.30,+0.66%,2.18K,14/05
Investors Title,163.36,163.36,159.96,+6.06,+3.85%,2.12K,14/05
Ohio Valley Banc,31.05,31.08,31.00,+0.05,+0.16%,2.11K,14/05
Daily Journal Corp,252.75,252.75,252.75,-2.55,-1.00%,1.96K,14/05
Penns Woods,22.78,23.06,22.75,+0.15,+0.67%,1.82K,14/05
CF Bankshares,20.60,20.92,20.60,-0.09,-0.43%,1.70K,14/05
P & F Industries,5.650,5.750,5.210,+0.420,+8.03%,1.63K,14/05
Stabilis Solutions,4.450,4.550,4.321,+0.250,+5.95%,1.61K,14/05
PrimeEnergy Corp,77.00,78.50,77.00,+1.41,+1.87%,1.33K,14/05
Community West Bancshares,13.85,13.85,13.54,+0.19,+1.43%,1.23K,14/05
First Capital,33.50,34.78,33.50,-0.04,-0.12%,1.21K,14/05
Patriot National Bancorp,13.900,14.790,13.875,+0.032,+0.23%,1.19K,14/05
Malvern Federal Bancorp,15.73,15.87,15.58,+0.17,+1.09%,1.18K,14/05
Oak Valley Bancorp,17.23,17.24,17.23,-0.32,-1.82%,0.92K,14/05
Home Federal Bancorp,20.57,20.57,20.57,+0.66,+3.31%,0.86K,14/05
IF Bancorp,23.66,23.95,23.50,-0.34,-1.40%,0.84K,14/05
Green Giant,2.015,2.015,2.010,+0.135,+7.18%,0.79K,14/05
Kentucky First Fe,7.300,7.300,7.300,+0.050,+0.69%,0.75K,14/05
Electro-Sensors,4.760,4.770,4.760,+0.040,+0.85%,0.73K,14/05
Bridgford Foods C,12.87,12.87,12.87,+0.15,+1.15%,0.58K,13/05
Qurate Retail B,4.46,4.47,4.46,+0.32,+7.79%,0.55K,13/05
Peoples Bancorp,26.65,26.65,26.65,+0.38,+1.45%,0.53K,14/05
Seneca Foods Corp (B),56.00,56.00,56.00,+1.25,+2.28%,0.52K,14/05
Old Point Financial,25.05,25.35,25.05,-0.65,-2.53%,0.48K,14/05
Bel Fuse Inc,21.42,21.67,21.42,+0.02,+0.09%,0.47K,14/05
National Security,16.33,16.34,16.33,+0.03,+0.18%,0.43K,14/05
HMN Financial,23.80,23.80,23.80,-0.01,-0.02%,0.38K,14/05
J. W. Mays,41.40,41.40,41.40,+1.40,+3.50%,0.33K,14/05
C&F Financial,51.30,51.50,51.30,-0.21,-0.41%,0.22K,14/05
Jewett-Cameron Trading,7.017,7.017,7.017,-0.133,-1.87%,0.18K,14/05
Kewaunee Scientif,14.01,14.01,13.95,+0.09,+0.65%,0.18K,14/05
Lake Shore Bancor,14.01,14.01,14.01,-0.30,-2.07%,0.14K,13/05
Donegal Group (B),16.11,16.11,16.11,+0.90,+5.92%,0.05K,14/05
Kelly Services (B),17.68,17.82,17.68,-0.42,-2.32%,0.03K,14/05
Oconee Federal,22.83,22.83,21.53,+1.02,+4.68%,0.01K,14/05
Bottomline Tech,56.99,56.99,56.92,0.00,0.00%,0,13/05
Glen Burnie Banco,12.97,12.97,12.46,0.00,0.00%,0,12/05
Gyrodyne,12.95,13.00,12.35,0.00,0.00%,0,13/05
Liberty Global B,21.42,21.74,21.42,0.00,0.00%,0,13/05
